station,station_name,longitude,latitude
8501970,°æ¼º¿©°´(±âÁ¡°¡»),127.095058,37.58546
8001321,¿¸¶¹®È­º¹Áö¼¾ÅÍ,127.09538,37.586485
71130,¼­ÀÏ´ÇÐ±³,127.09687,37.589193
70881,¸Á¿3µ¿ÁÖ¹Î¼¾ÅÍ.¸éÀÏÃÊ±³,127.0984,37.592017
70882,¿¸¶°ø¿øÀÔ±¸,127.099437,37.59392
71131,¿¸²½ÃÀ,127.099288,37.595575
71132,ºÀ¿Àç°°³,127.097343,37.595155
71133,Çý¿ø¿©Áß°ÀÔ±¸,127.095553,37.594772
71134,»óºÀÅÍ¹Ì³ÎÀÔ±¸,127.093677,37.594368
9001027,Çý¿ø¸ñ¿åÅÁ,127.090557,37.593695
9002410,¸é¸6°Å¸®,127.08719,37.592982
11532,»óºÀ2µ¿ÁÖ¹Î¼¾ÅÍ,127.083713,37.59224
71138,±Ý¼º½ÃÀ,127.080842,37.591627
71139,KTÁß¶ûÁöÁ¡,127.078257,37.590797
11306,Áß¶ûÃÊµÇÐ±³,127.07427,37.589507
11278,¼­¿¿À¯¾Õ,127.073153,37.59141
70064,Áß¶û±³,127.067697,37.59174
8001828,»À°¼­¿º´¿,127.060685,37.589692
70066,½ÃÁ¶»ç»°Å¸®,127.056888,37.588707
70067,¶±Àü±³»ç°Å¸®.µ¿´¹®³ÀÎº¹Áö°,127.051948,37.586473
8501270,Ã»·®¸®¹ÌÁÖ¾ÆÆÄÆ®.µ¿´¹®¼¼¹«¼­,127.048395,37.58278
8000781,Ã»·®¸®¿ªÈ¯½Â¼¾Å¸,127.045497,37.580402
70069,Ã»·®¸®.Ã»°ú¹°µµ¸Å½ÃÀ,127.040598,37.578798
71190,Á¦±âµ¿¿ª.¼­¿¾à·É½Ã,127.035575,37.578225
70071,¿µÎµ¿»ç°Å¸®.ÇÑ±¹ÀÇ·ù½ÃÇè¿¬±¸¿,127.02828,37.577155
7769,½Å¼³µ¿¿ª,127.023768,37.575863
8000821,µ¿¹¦¾Õ,127.01955,37.574247
9100,µ¿´¹®(ÈÀÎÁö¹®),127.012453,37.572102
9000401,Á¾·Î6°¡,127.004312,37.571237
8002153,Á¾·Î5°¡,126.999275,37.571037
8001157,Á¾·Î4°¡.Á¾¹¦,126.99417,37.57071
9000393,Á¾·Î3°¡,126.989935,37.570535
9034838,Á¾·Î2°¡,126.984937,37.570378
9001120,Á¾·Î1°¡,126.980187,37.5704
8729,±¤È­¹®,126.975837,37.570365
8502136,¼­¿¿ª»ç¹Ú¹°°.°æÈñ±Ã¾Õ,126.970608,37.569412
8502134,¼­´¹®¿ª»ç°Å¸®,126.966893,37.566137
8501760,ÃæÁ¤·Î¿ª,126.962492,37.559802
8501761,¾ÆÇö¿ª,126.956888,37.557397
8501762,¿þµùÅ¸¿,126.952408,37.557227
8002643,ÀÌ´¿ª,126.947015,37.556872
9036969,½ÅÃÌ¿À°Å¸®.2È£¼±½ÅÃÌ¿ª,126.938988,37.555833
8002638,½ÅÃÌ¿À°Å¸®.Çö´¹éÈ­Á¡,126.934465,37.556063
9036967,µ¿±³µ¿»°Å¸®,126.929527,37.557808
8002636,È«´ÀÔ±¸¿ª,126.924317,37.557325
8002634,¼­±³µ¿¿¹½ÄÀåÅ¸¿,126.92005,37.55415
8501726,ÇÕÁ¤¿ª,126.91568,37.551092
9001958,ÇÕÁ¤¿ª,126.913057,37.550563
9001960,¼º»ÃÊµÇÐ±³ÀÔ±¸,126.912262,37.553218
9001962,±â¾÷ÀºÇà¼­±³µ¿ÁöÁ¡(ÃÖ±ÔÇÏ´Å·É°¡¿Á),126.911473,37.554837
